Model,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,MCC_mean,MCC_std,EF1_mean,EF1_std,EF5_mean,EF5_std,EF10_mean,EF10_std,BEDROC_mean,BEDROC_std
LightGBM,0.9106060606060605,0.012207868962946787,0.9194730794718711,0.013150479057545305,0.9225508399646329,0.01007364931184847,0.9209816738190216,0.010575979922220476,0.9645128747438001,0.008799397930028834,0.9720989115654678,0.008564835631008814,0.8181456292361027,0.024983528827193957,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,1.7639441653968428,0.023206954780582826,0.9444956854754967,0.010221777774467034
Random Forest,0.9164502164502165,0.012885606983668587,0.9210427289979869,0.01593759495908216,0.932141173003242,0.008855948023913955,0.9265050950345806,0.010899380814604051,0.9667518757596494,0.008699824967056832,0.9724103992340947,0.009366307473207339,0.8299298759134622,0.02639970732264695,1.7714765694076036,0.0027232537577365433,1.7641010904804006,0.022739406684942,1.7639441653968428,0.023206954780582826,0.9408267441050393,0.019932022789902654
Extra Trees,0.9142857142857143,0.011624001369781431,0.9210775374585628,0.015356856370900385,0.9279207191276158,0.009149506406469561,0.9244164436141125,0.009838412774648416,0.9642036360111591,0.009247605138358048,0.9684418739095513,0.011022606235777388,0.8256315227494181,0.02382644942481976,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,1.7601779633914627,0.018331800532724762,0.9403161051070755,0.011233138231222147
SVM,0.88982683982684,0.017028181311876146,0.9163387766532308,0.01518442916148879,0.8857382847038018,0.018022451832479733,0.9007314327591402,0.015466465636592335,0.949997399983476,0.014596787569363945,0.9579053775787593,0.013897601214860994,0.7776963201840611,0.03425846113520739,1.7714765694076036,0.0027232537577365433,1.7567256115531975,0.030297685438430953,1.748879357375322,0.031252964923530954,0.9233811947208759,0.026402430788876063
Gradient Boosting,0.8744588744588745,0.01940823529996527,0.8828106446732319,0.018369132877014634,0.8968552903035661,0.02087944057537841,0.8896700560057781,0.017114657232321546,0.9382017541758397,0.013117602579268991,0.9495258774841707,0.0173629448530566,0.7444306265935896,0.03946242066709177,1.7714765694076036,0.0027232537577365433,1.7419746536987915,0.08900013813614134,1.7564117613860823,0.045727206044222785,0.9208328290445065,0.06957568567190137
AdaBoost,0.8389610389610389,0.015157698181828202,0.8502355588984795,0.015121573723931678,0.8677188328912466,0.013383162268984535,0.8588457708934941,0.01299650288572567,0.9151450159152791,0.011651298173265698,0.9313422550207031,0.013615952328224068,0.6717177147701625,0.031079679056624676,1.7714765694076036,0.0027232537577365433,1.7493501326259946,0.03478539191467885,1.7413324679722328,0.044354358827313846,0.91882629195355,0.02960520197087576
Logistic Regression,0.8753246753246753,0.016376000276517533,0.892151435446042,0.015543898915134944,0.8865104627173592,0.02232105487041408,0.8891568164565781,0.01506969734780054,0.9334651996878167,0.013435399514102967,0.9410155891654822,0.016772067121106665,0.7470544533808086,0.032885545455419045,1.736074270557029,0.10669456607323065,1.7345991747715885,0.05055431374076622,1.726267659950712,0.037954273816185574,0.8908726183366783,0.053060681130421096
KNN,0.8844155844155844,0.021012400172314444,0.8778574297749199,0.01577992158117272,0.9237002652519892,0.02346757804484834,0.9001487266031847,0.018658900877322544,0.9376372128714252,0.011844833836032593,0.9276987764306284,0.011790663753717047,0.7646763725393562,0.043128216022837264,1.736074270557029,0.10669456607323065,1.6903179339817271,0.0907329236308001,1.6772635777037828,0.06178120868360802,0.8316747980647976,0.08902549217195674
Decision Tree,0.8677489177489177,0.01759648405775121,0.8786810421604508,0.019396679053549585,0.8888093132920719,0.019952892195665168,0.8835487317991957,0.01547216194500221,0.866721373446779,0.017080252204019774,0.8465627144019632,0.018478619598144706,0.7309801611008778,0.03588121575568088,1.5943289124668432,0.2376001448836957,1.6016703507220746,0.09300036804650476,1.5942767650544611,0.08687290733082252,0.7182989668570922,0.09707064109385379
Naive Bayes,0.7716450216450217,0.013386706576680714,0.7685237240589046,0.010690470784897543,0.8523769525493663,0.023405738996228397,0.8081064313621102,0.012518868017400155,0.815315455660073,0.01466888576559607,0.8089851223509571,0.014446192629132262,0.5328012045929446,0.02830398561869871,1.3109743589743588,0.3897283456559427,1.439324712643678,0.11066377975937401,1.4434838309159659,0.08133189712831347,0.5416642730834742,0.09523675459638782
